original,augmented,method
"put it somewhere between sling blade and south of heaven , west of hell in the pantheon of billy bob 's body of work .","somewhere between the sling blade and the south of the sky, west of hell in the pantheon of Billy's bob body.",back_translation
"while not quite a comedy , the film tackles its relatively serious subject with an open mind and considerable good cheer , and is never less than engaging .","Although not quite a comedy, the film approaches its relatively serious subject with an open mind and a considerable good mood, and is never less than engaging.",back_translation
"it 's a tour de force , written and directed so quietly that it 's implosion rather than explosion you fear .","It is a tower of force, written and directed so quietly that it is the implosion rather than the explosion that you fear.",back_translation
"though it was made with careful attention to detail and is well-acted by james spader and maggie gyllenhaal , i felt disrespected .","Although it was done with particular attention to detail and is well done by james spader and maggie gyllenhaal, I felt disrespectful.",back_translation
"personal velocity ought to be exploring these women 's inner lives , but it never moves beyond their surfaces .","The personal speed should be to explore the inner life of these women, but it never moves beyond their surface.",back_translation
"for a film that celebrates radical , nonconformist values , what to do in case of fire ?","for a film that celebrates radical, non-conformist values, what to do in case of fire?",back_translation
draggin ' about dragons,draggin' on dragons,back_translation
i ca n't .,"Oh, my God.",back_translation
"saved from being merely way-cool by a basic , credible compassion .",Saved from being just cool by a fundamental and credible compassion.,back_translation
... a trashy little bit of fluff stuffed with enjoyable performances and a bewildering sense of self-importance,... a small flattering tip overflowing with pleasant performance and a feeling of stunning self-importance,back_translation
like other great documentaries ... this goes after one truth -lrb- the ford administration 's complicity in tearing ` orphans ' from their mothers -rrb- and stumbles upon others even more compelling .,Like other great documentaries ... it goes after a truth - lrb - the complicity of the ford administration to tear apart their mothers' `orphans' - rrb - and stumble on others even more convincing.,back_translation
a porn film without the sex scenes .,a porn movie without sex scenes.,back_translation
"cox is far more concerned with aggrandizing madness , not the man , and the results might drive you crazy .","Cox is much more concerned about the magnification of madness, not man, and the results could drive you crazy.",back_translation
the respective charms of sandra bullock and hugh grant have worn threadbare .,the respective charms of Sandrabullock and Câlinh Grant have carried wires of iron.,back_translation
"not the best herzog perhaps , but unmistakably herzog .","Not the best herzog maybe, but without a doubt herzog.",back_translation
-lrb- it -rrb- has the feel of a summer popcorn movie .,- Irb- it -rrb- feels like a summer popcorn movie.,back_translation
entertaining but like shooting fish in a barrel .,entertaining but like pulling fish in a barrel.,back_translation
a brutally honest documentary about a much anticipated family reunion that goes wrong thanks to culture shock and a refusal to empathize with others .,A brutally honest documentary about a long-awaited family reunion that goes badly due to cultural shock and refusal of empathy with others.,back_translation
confounding because it solemnly advances a daringly preposterous thesis .,Confounding because he solemnly advanced a boldly absurd thesis.,back_translation
it 's everything you 'd expect -- but nothing more .,"That's all you've been waiting for, but nothing more.",back_translation
martyr gets royally screwed and comes back for more .,martyr gets royally fucked and comes back for more.,back_translation
a `` black austin powers ? '',a `` black Austin powers?'',back_translation
"for all its plot twists , and some of them verge on the bizarre as the film winds down , blood work is a strong , character-oriented piece .","for all his conspiracy twists, and some of them approach the strange as the film blows down, the work of blood is a strong piece, centered on character.",back_translation
as it stands it 's an opera movie for the buffs .,It's an opera movie for the buffalo.,back_translation
"for 95 often hilarious minutes , -lrb- cho -rrb- riffs on the diciness of colonics , on straight versus gay personal ads , on how men would act if they had periods , and on the perils of a certain outré sexual practice .","for 95 minutes often hilarious, -lrb- cho -rrb- riffs on the dictation of colonists, on personal ads right against gay, on how men would act if they had periods, and on the perils of some outdated sexual practice.",back_translation
it says a lot about a filmmaker when he can be wacky without clobbering the audience over the head and still maintain a sense of urgency and suspense .,He says a lot about a filmmaker when he can be crazy without taunting the audience on his head and always maintaining a sense of urgency and suspense.,back_translation
"examines its explosive subject matter as nonjudgmentally as wiseman 's previous studies of inner-city high schools , hospitals , courts and welfare centers .","examines its explosive material as non-judicious as the previous studies of sages in downtown secondary schools, hospitals, courts and social welfare centers.",back_translation
the movie is essentially a series of fleetingly interesting actors ' moments .,The film is essentially a series of moments of fleeting and interesting actors.,back_translation
the film is about the relationships rather than about the outcome .,the film is about relationships rather than the result.,back_translation
is red dragon worthy of a place alongside the other hannibal movies ?,Is the red dragon worthy of a place alongside Hannibal's other films?,back_translation
"boy oh boy , it 's a howler .","My boy, it's a scream.",back_translation
an overwrought taiwanese soaper about three people and their mixed-up relationship .,A Taiwanese soapmaker overworked on three people and their mixed relationship.,back_translation
only two-fifths of a satisfying movie experience .,only two-fifths of a satisfactory film experience.,back_translation
same guy with both hats .,Same guy with both hats.,back_translation
an exhilarating serving of movie fluff .,an exciting portion of fluff films.,back_translation
"circuit queens wo n't learn a thing , they 'll be too busy cursing the film 's strategically placed white sheets .","queens wo circuit learn nothing, they will be too busy cursed the strategically placed white leaves of the film.",back_translation
-lrb- crystal and de niro -rrb- manage to squeeze out some good laughs but not enough to make this silly con job sing .,"-Lrb- crystal and niro-rrb- manage to get rid of some good laughs, but not enough to blackmail this stupid bullshit.",back_translation
... a fairly disposable yet still entertaining b picture .,... a fairly disposable but always entertaining image b .,back_translation
ozpetek joins the ranks of those gay filmmakers who have used the emigre experience to explore same-sex culture in ways that elude the more nationally settled .,ozpetek joins the ranks of gay filmmakers who have used the experience of emigre to explore the culture of the same sex in order to escape the national establishment.,back_translation
represents something very close to the nadir of the thriller\/horror genre .,represents something very close to the nadir of the kind thriller\/horror .,back_translation
"fortunately , you still have that option .","Fortunately, you still have this option.",back_translation
this follow-up seems so similar to the 1953 disney classic that it makes one long for a geriatric peter .,This follow-up seems so similar to the classic disney 1953 that he makes it a long time for a geriatric peter.,back_translation
ca n't seem to get anywhere near the story 's center .,It doesn't look like it's getting closer to the center of history.,back_translation
"if legendary shlockmeister ed wood had ever made a movie about a vampire , it probably would look a lot like this alarming production , adapted from anne rice 's novel the vampire chronicles .","so legendary shlockmeister ed wood had never made a movie about a vampire, it would probably look a lot like this alarming production, adapted from the rice novel annes vampire chronicles.",back_translation
"... the one thing this wild film has that other imax films do n't : chimps , lots of chimps , all blown up to the size of a house .","... the only thing this wild movie has that other imax movies don't do: chimpanzees, lots of chimpanzees, all blown up to the size of a house.",back_translation
do n't hate el crimen del padre amaro because it 's anti-catholic .,Don't hate el crimen del padre amaro because it's anti-Catholic.,back_translation
robin williams departs from his fun friendly demeanor in exchange for a darker unnerving role .,robin williams departs from his fun friendly behavior in exchange for a darker and darker role.,back_translation
"oh , and booty call .","Oh, and the ass call.",back_translation
"it 's a drawling , slobbering , lovable run-on sentence of a film , a southern gothic with the emotional arc of its raw blues soundtrack .","It's a tiring, slobbering, the pleasant running phrase of a movie, a gothic from the south with the emotional arch of his band its raw blues.",back_translation
"since lee is a sentimentalist , the film is more worshipful than your random e !","Since Lee is a sentimentalist, the film is more venerating than your random e!",back_translation
crikey indeed .,That's right.,back_translation
spy-vs .,- Spies.,back_translation
sex with strangers will shock many with its unblinking frankness .,sex with strangers will shock a lot with her unlinked frankness.,back_translation
more of an intriguing curiosity than a gripping thriller .,More of an intriguing curiosity than a catchy thriller.,back_translation
this off-putting french romantic comedy is sure to test severely the indulgence of fans of amélie .,This French romantic comedy off-puting is sure to test severely the indulgence of amelian fans.,back_translation
"with freeman and judd , i 'll at least remember their characters .","With freeman and judd, I'll remember at least their characters.",back_translation
the cast comes through even when the movie does n't .,Casting happens even when the movie doesn't.,back_translation
"it 's all entertaining enough , but do n't look for any hefty anti-establishment message in what is essentially a whip-crack of a buddy movie that ends with a whimper .","it's quite entertaining, but don't look for any hepty anti-establishment message in what is essentially a whip-crack of a boyfriend movie that ends with a whimper.",back_translation
it looks much more like a cartoon in the end than the simpsons ever has .,It looks much more like a cartoon in the end than the simpsons have ever had.,back_translation
"despite these annoyances , the capable clayburgh and tambor really do a great job of anchoring the characters in the emotional realities of middle age .","Despite these troubles, the capable Clayburgh and drum really do a great job of anchoring the characters in the emotional realities of the Middle Ages.",back_translation
"despite its raucous intent , xxx is as conventional as a nike ad and as rebellious as spring break .","Despite its rough intention, xxx is as conventional as a nike ad and as rebellious as the spring break.",back_translation
"while this has the making of melodrama , the filmmaker cuts against this natural grain , producing a work that 's more interested in asking questions than in answering them .","while it has the manufacture of melodrama, the filmmaker cuts against this natural grain, producing a work that 'is more interested in asking questions than answering them.",back_translation
viewing this underdramatized but overstated film is like watching a transcript of a therapy session brought to humdrum life by some freudian puppet .,Watching this film underdramatized but overestimated is like watching a transcript of a therapy session brought to the life of humdrum by a Freudian puppet.,back_translation
"even though it is infused with the sensibility of a video director , it does n't make for completely empty entertainment","even if it is infused with the sensitivity of a video director, it does not do for completely empty entertainment",back_translation
let 's face it -- there are n't many reasons anyone would want to see crossroads if they 're not big fans of teen pop kitten britney spears .,let's face it -- there aren't many reasons someone would like to see the crossroads if they're not big fans of teen pop kitten Britney lances.,back_translation
... the picture 's cleverness is ironically muted by the very people who are intended to make it shine .,... the intelligence of the image is ironically mutated by the very people who are destined to make it shine.,back_translation
what makes the movie work -- to an admittedly limited extent -- is the commitment of two genuinely engaging performers .,what makes the film work -- to a limited extent -- is the commitment of two truly engaging performers.,back_translation
"you come away wishing , though , that the movie spent a lot less time trying to make a credible case for reports from the afterlife and a lot more time on the romantic urgency that 's at the center of the story .","You come hoping, however, that the film has spent much less time trying to make a credible case for the post-life reports and much more time on the romantic emergency that is at the center of the story.",back_translation
what we get ... is caddyshack crossed with the loyal order of raccoons .,What we get... is Caddyshack crossed with the loyal order of raccoons.,back_translation
"tom green and an ivy league college should never appear together on a marquee , especially when the payoff is an unschooled comedy like stealing harvard , which fails to keep 80 minutes from seeming like 800 .","tom green and a league college should never appear together on a marquise, especially when payment is an unschooled comedy like stealing Harvard, which does not prevent 80 minutes to appear as 800.",back_translation
one of the oddest and most inexplicable sequels in movie history .,one of the strangest and most inexplicable suites in the film's history.,back_translation
stirs potentially enticing ingredients into an uneasy blend of ghost and close encounters of the third kind .,stir potentially attractive ingredients in a malaise mix of ghosts and close encounters of the third kind.,back_translation
"those who love cinema paradiso will find the new scenes interesting , but few will find the movie improved .","Those who love the cinema paradise will find the new scenes interesting, but few will find the movie improved.",back_translation
"the filmmaker ascends , literally , to the olympus of the art world , but he would have done well to end this flawed , dazzling series with the raising of something other than his own cremaster .","The filmmaker literally ascends to the olympic world of art, but he would have done well to put an end to this imperfect, dazzling series with the rise of something other than his own cremaster.",back_translation
"if the idea of the white man arriving on foreign shores to show wary natives the true light is abhorrent to you , the simplistic heaven will quite likely be more like hell .","If the idea of the white man arriving on the foreign coasts to show the cautious natives the true light is odious to you, the simplistic sky will probably be more like hell.",back_translation
heaven is a haunting dramatization of a couple 's moral ascension .,The sky is a haunting dramatization of the moral ascension of a couple.,back_translation
"the animation merely serves up a predictable , maudlin story that swipes heavily from bambi and the lion king , yet lacks the emotional resonance of either of those movies .","animation serves only a predictable story, Maudlin who swips heavily of bambi and the king of the lion, but lacks the emotional resonance of either of these films.",back_translation
"it would be disingenuous to call reno a great film , but you can say that about most of the flicks moving in and out of the multiplex .","It would be casual to call reno a big movie, but you can say that on most movies moving in and out of the multiplex.",back_translation
"this heist flick about young brooklyn hoods is off the shelf after two years to capitalize on the popularity of vin diesel , seth green and barry pepper .","This heist movie about young hood brooklyn is out of the shelf after two years to capitalize on the popularity of diesel wine, green seth and barry pepper.",back_translation
diverting french comedy in which a husband has to cope with the pesky moods of jealousy .,turning away the French comedy in which a husband has to face the thorny moods of jealousy.,back_translation
each scene wreaks of routine ; the film never manages to generate a single threat of suspense .,each scene is a routine tear; the film never manages to generate a single threat of suspense.,back_translation
possibly not since grumpy old men have i heard a film so solidly connect with one demographic while striking out with another .,Maybe not since the old grumpy ones I've heard a movie so firmly linked to one demographic while hitting with another.,back_translation
"meyjes focuses too much on max when he should be filling the screen with this tortured , dull artist and monster-in-the - making .","meyjes focuses too much on max when he should fill the screen with this tortured, dull and monster-in-the-do artist.",back_translation
hilarious musical comedy though stymied by accents thick as mud .,"hilarious musical, though printed with thick accents like mud.",back_translation
"-lrb- it -rrb- highlights not so much the crime lord 's messianic bent , but spacey 's .","- Irb- it -rrb- highlights not so much the Messianic curvature of the lord of crime, but space.",back_translation
"tsai has managed to create an underplayed melodrama about family dynamics and dysfunction that harks back to the spare , unchecked heartache of yasujiro ozu .","tsai managed to create an underestimated melodrama on the dynamics of the family and the dysfunction that relates to scattering, unverified heartache of yasujiro ozu.",back_translation
"the sweetest thing , a romantic comedy with outrageous tendencies , may be a mess in a lot of ways .","the sweetest thing, a romantic comedy with scandalous tendencies, can be a disorder in many ways.",back_translation
"a brain twister , less a movie-movie than a funny and weird meditation on hollywood , success , artistic integrity and intellectual bankruptcy .","A twisted brain, less a movie than a funny and weird meditation on Hollywood, success, artistic integrity and intellectual bankruptcy.",back_translation
let 's hope not .,Let's hope we don't.,back_translation
"you can see the would-be surprises coming a mile away , and the execution of these twists is delivered with a hammer .","you can see surprises coming a mile away, and the execution of these twists comes with a hammer.",back_translation
it may even fall into the category of films you love to hate .,It can even fall into the category of movies you like to hate.,back_translation
like a less dizzily gorgeous companion to mr. wong 's in the mood for love -- very much a hong kong movie despite its mainland setting .,as a less stunning companion of Mr. Wong in the atmosphere of love -- very a Hong Kong film despite its continental decor.,back_translation
"the film 's best trick is the way that it treats conspiracy as a kind of political blair witch , a monstrous murk that haunts us precisely because it can never be seen .","The film's best trick is the way it treats conspiracy as a kind of political badger witch, a monstrous wall that haunts us precisely because it can never be seen.",back_translation
"labute ca n't avoid a fatal mistake in the modern era : he 's changed the male academic from a lower-class brit to an american , a choice that upsets the novel 's exquisite balance and shreds the fabric of the film .","Labute ca does not avoid a fatal error in the modern era: he changed the male academic from a lower class brit to an American, a choice that upsets the exquisite balance of the novel and shreds the fabric of the film.",back_translation
"every five minutes or so , someone gets clocked .","Every five minutes or so, someone gets clocked.",back_translation
a puzzling experience .,a disconcerting experience.,back_translation
"it pulls the rug out from under you , just when you 're ready to hate one character , or really sympathize with another character , something happens to send you off in different direction .","It pulls the carpet from under you, just when you're ready to hate a character, or really sympathize with another character, something happens to send you in a different direction.",back_translation
gibney and jarecki just want to string the bastard up .,Gibney and Jarecki just want to put it on.,back_translation
"when in doubt , the film ratchets up the stirring soundtrack , throws in a fish-out-of-water gag and lets the cliched dialogue rip .","In case of doubt, the film clicks on the soundtrack, stirring, throws in a fish gag out of water and lets the cliché dialogue tear.",back_translation
a thriller made from a completist 's checklist rather than with a cultist 's passion .,a thriller made from a complete checklist rather than with the passion of a cult.,back_translation
may be the most undeserving victim of critical overkill since town and country .,can be the most careless victim of critical overqualification from the city and country.,back_translation
"has its moments , but it 's pretty far from a treasure .","At times, but it's far enough from a treasure.",back_translation
goes a long way on hedonistic gusto .,goes a long way on the hedonist taste.,back_translation
matches neorealism 's impact by showing the humanity of a war-torn land filled with people who just want to live their lives .,corresponds to the impact of neorealism by showing humanity of a war-torn land filled with people who just want to live their lives.,back_translation
the central character is n't complex enough to hold our interest .,centrality is not complex enough to hold our interest.,back_translation
acting can not be acted .,acting can't be done.,back_translation
"the director and her capable cast appear to be caught in a heady whirl of new age-inspired good intentions , but the spell they cast is n't the least bit mesmerizing .","the director and his capable casting seem to be caught in a capricious whirlwind of new good intentions inspired by age, but the fate they cast is not the least mesmering.",back_translation
a movie that feels like the pilot episode of a new teen-targeted action tv series .,a film that feels like the pilot episode of a new series of tele-action targeted by the teenager.,back_translation
you wo n't look at religious fanatics -- or backyard sheds -- the same way again .,You don't look at religious fanatics -- or hangars -- the same way again.,back_translation
the combination of lightness and strictness in this instance gives italian for beginners an amiable aimlessness that keeps it from seeming predictably formulaic .,the combination of lightness and rigor in this case gives Italian for beginners an amicable ardentness that prevents him from appearing predictable formula.,back_translation
"not bad , but not all that good .","Not bad, but not so bad.",back_translation
"old people will love this movie , and i mean that in the nicest possible way : last orders will touch the heart of anyone old enough to have earned a 50-year friendship .","The elderly will love this film, and I mean that in the most pleasant way possible: the last orders will touch the heart of anyone old enough to have earned a 50-year-old friendship.",back_translation
"there 's a thin line between likably old-fashioned and fuddy-duddy , and the count of monte cristo ... never quite settles on either side .","There's a thin line between the old and the puddy-duddy likely, and the number of cristo mounts... never settles entirely on either side.",back_translation
a plodding look at the french revolution through the eyes of aristocrats .,a wrinkling look at the French revolution through the eyes of the aristocrats.,back_translation
"ah , what the hell .",What is it?,back_translation
"... gripping and handsome execution , -lrb- but -rrb- there is n't much about k-19 that 's unique or memorable .","... striking and beautiful execution, -lrb- but -rrb- there is not a lot of k-19 that is unique or memorable.",back_translation
it 's young guns meets goodfellas in this easily skippable hayseeds-vs .,They're young cannons meeting goodbellas in this hayvs easy to jump.,back_translation
the film will appeal to discovery channel fans and will surely widen the perspective of those of us who see the continent through rose-colored glasses .,The film will attract fans of the discovery channel and will surely broaden the perspective of those of us who see the continent through pink-coloured glasses.,back_translation
you do n't want to call the cops .,You don't want to call the cops.,back_translation
`` the tuxedo '' should have been the vehicle for chan that `` the mask '' was for jim carrey .,``the tuxedo '' should have been the vehicle for chan that ``the mask '' was for jim carrey.,back_translation
i do n't even care that there 's no plot in this antonio banderas-lucy liu faceoff .,I don't even care that there is no plot in this face off antonio banderas-lucy liu.,back_translation
"it 's all gratuitous before long , as if schwentke were fulfilling a gross-out quota for an anticipated audience demographic instead of shaping the material to fit the story .","It's all free for a long time, as if schwentke filled a raw quota for a planned demographic audience instead of shaping the material to match history.",back_translation
"if all of eight legged freaks was as entertaining as the final hour , i would have no problem giving it an unqualified recommendation .","If all eight leg monsters were as entertaining as the last hour, I would have no problem giving him an unqualified recommendation.",back_translation
"the cameo-packed , m : i-2-spoofing title sequence is the funniest 5 minutes to date in this spy comedy franchise ... then mike myers shows up and ruins everything .","the cameo-packed, m : i-2-spoofing title sequence is the funniest 5 minutes to date in this spy comedy franchise ... then Mike myers shows up and ruins everything.",back_translation
but even with the two-wrongs-make-a-right chemistry between jolie and burns ... this otherwise appealing picture loses its soul to screenwriting for dummies conformity .,but even with the two-fault chemistry-make-a-right between Jolie and burns ... this otherwise attractive image loses its soul to screen for the conformity of the mannequins.,back_translation
all analyze that proves is that there is really only one movie 's worth of decent gags to be gleaned from the premise .,All the analysis that proves is that there's really only one movie worth decent gags gleaning from the premise.,back_translation
"while the mystery unravels , the characters respond by hitting on each other .","While the deriding mystery, the characters respond by striking each other.",back_translation
"for a debut film , skin of man , heart of beast feels unusually assured .","for a first film, the skin of man, the heart of the beast feels exceptionally assured.",back_translation
tian emphasizes the isolation of these characters by confining color to liyan 's backyard .,tian highlights the isolation of these characters from the colour in the backyard of liyan.,back_translation
this harrowing journey into combat hell vividly captures the chaotic insanity and personal tragedies that are all too abundant when human hatred spews forth unchecked .,This atrocious journey into the battle of hell brilliantly captures the chaotic madness and personal tragedies that are too abundant when human hatred emerges without control.,back_translation
an estrogen opera so intensely feminine that it serves as the antidote -lrb- and cannier doppelganger -rrb- to diesel 's xxx flex-a-thon .,an oestrogen opera so intensely feminine that it serves as antidote -lrb- and cannier doppelganger -rrb- diesel 's xxx flex-a-thon .,back_translation
meanders between its powerful moments .,medium between his powerful moments.,back_translation
"with lines that feel like long soliloquies -- even as they are being framed in conversation -- max is static , stilted .","with lines that feel like long soliloquies -- even if framed in conversation -- max is static, stretched.",back_translation
"there 's not much to fatale , outside of its stylish surprises ... but that 's ok .","There's not much to die for, apart from his elegant surprises... but it's okay.",back_translation
it 's a boom-box of a movie that might have been titled ` the loud and the ludicrous ' ... the pandering to a moviegoing audience dominated by young males is all too calculated .,"It's a boom box of a movie that could have been called ""Fort and Ridiculous "" ... the prodigy to a film audience dominated by young men is too calculated.",back_translation
there ai n't a lot more painful than an unfunny movie that thinks it 's hilarious .,There's not much more painful than an unpunished movie that thinks it's hilarious.,back_translation
"a respectable venture on its own terms , lacking the broader vision that has seen certain trek films ... cross over to a more mainstream audience .","a respectable company in its own terms, without the broader vision that has seen some trek movies ... meet up with a larger audience.",back_translation
"sometimes we feel as if the film careens from one colorful event to another without respite , but sometimes it must have seemed to frida kahlo as if her life did , too .","sometimes we feel as if the film cares about a colorful event to another without respite, but sometimes it must have seemed like frida kahlo as if his life had done it, too.",back_translation
"the story , touching though it is , does not quite have enough emotional resonance or variety of incident to sustain a feature , and even at 85 minutes it feels a bit long .","the story, touching though it is, does not have enough emotional resonance or variety of incident to support a feature, and even at 85 minutes it feels a little long.",back_translation
aimed squarely at the least demanding of demographic groups : very small children who will be delighted simply to spend more time with familiar cartoon characters .,For at least demanding demographic groups: the very little children who will simply be delighted to spend more time with familiar cartoon characters.,back_translation
... a preachy parable stylized with a touch of john woo bullet ballet .,...a parabola of preaching stylized with a touch of ballet by John Woo.,back_translation
it 's too bad nothing else is .,It's a shame that nothing else is.,back_translation
you might be shocked to discover that seinfeld 's real life is boring .,You might be shocked to find out that Seinfeld's real life is boring.,back_translation
solondz creates some effective moments of discomfort for character and viewer alike .,solondz creates some effective moments of discomfort for the character and the spectator.,back_translation
merci pour le movie .,Thank you for the movie.,back_translation
"... a ho-hum affair , always watchable yet hardly memorable .","... a ho-hum case, always observable but barely memorable.",back_translation
barrels along at the start before becoming mired in sentimentality .,before becoming mired in sentimentality.,back_translation
a disturbing examination of what appears to be the definition of a ` bad ' police shooting .,"a disturbing review of what appears to be the definition of a "" bad "" police shooting.",back_translation
presents a good case while failing to provide a reason for us to care beyond the very basic dictums of human decency .,presents a good case while not providing a reason for us to care beyond the very basic dictums of human decency.,back_translation
"in capturing the understated comedic agony of an ever-ruminating , genteel yet decadent aristocracy that can no longer pay its bills , the film could just as well be addressing the turn of the 20th century into the 21st .","by capturing the underestimated comic agony of an aristocracy always, yet decadent genteel that can no longer pay its bills, the film could just as well approach the turn of the 20th century in the 21st.",back_translation
a virtual roller-coaster ride of glamour and sleaze .,a roller-coaster virtual tour of glamour and dazzling.,back_translation
"if h.g. wells had a time machine and could take a look at his kin 's reworked version , what would he say ?","If h.g. Wells had a time machine and could take a look at his parent's reworked version, what would he say?",back_translation
what could have been a pointed little chiller about the frightening seductiveness of new technology loses faith in its own viability and succumbs to joyless special-effects excess .,What could have been a little chilling about the seductive seductive of the new technology loses faith in its own viability and succumbs to the excess of special effects without joy.,back_translation
it 's just plain boring .,It's just boring.,back_translation
"it 's tough being a black man in america , especially when the man has taken away your car , your work-hours and denied you health insurance .","It's hard to be a black man in America, especially when the man took your car, your hours of work and refused you health insurance.",back_translation
"cattaneo should have followed the runaway success of his first film , the full monty , with something different .","cattaneo should have followed the runaway success of his first film, the complete monty, with something different.",back_translation
"ends up being mostly about ravishing costumes , eye-filling , wide-screen production design and joan 's wacky decision to stand by her man , no matter how many times he demonstrates that he 's a disloyal satyr .","ends up being mainly on the lovely costumes, the filling of the eyes, the design of the large screen production and the decision of joan wacky to stand to his man, no matter how many times he shows that he is a disloyal satyr.",back_translation
"the messy emotions raging throughout this three-hour effort are instantly recognizable , allowing the film to paradoxically feel familiar and foreign at the same time .","The petty emotions that rage throughout this three-hour effort are immediately recognizable, allowing the film to feel paradoxically familiar and foreign at the same time.",back_translation
"about amy 's cuteness , amy 's career success -lrb- she 's a best-selling writer of self-help books who ca n't help herself -rrb- , and amy 's neuroses when it comes to men .","about the cuteness of amy, the career success of amy -lrb- she is a best-selling author of self-help books that does not help herself -rrb-, and the amy neuroses when it comes to men.",back_translation
"well , they 're ` they ' .","Well, they're ""they"".",back_translation
"`` secretary '' is owned by its costars , spader and gyllenhaal .","``secretary ' ' belongs to his costars, spader and gyllenhaal.",back_translation
so riddled with unanswered questions that it requires gargantuan leaps of faith just to watch it plod along .,so full of unanswered questions that it requires gargantuan leaps of faith just to look at it ploud along.,back_translation
"a modestly comic , modestly action-oriented world war ii adventure that , in terms of authenticity , is one of those films that requires the enemy to never shoot straight .","a modestly comic, modestly oriented towards the action world war ii adventure which, in terms of authenticity, is one of those films that requires the enemy to never turn straight.",back_translation
there 's no getting around the fact that this is revenge of the nerds revisited -- again .,There's no way to bypass the fact that it's revenge of the re-visited nerds -- again.,back_translation
"super troopers is an odd amalgam of comedy genres , existing somewhere between the often literal riffs of early zucker brothers\/abrahams films , and the decidedly foul stylings of their post-modern contemporaries , the farrelly brothers .","Super soldiers is a strange mix of comedy genres, existing somewhere between the often literal riffs of the early Zucker\/abrahams' brothers, and the decidedly bad styles of their post-modern contemporaries, the farrelly brothers.",back_translation
"overall , it 's a wacky and inspired little film that works effortlessly at delivering genuine , acerbic laughs .","Overall, it's a little wacky and inspired film that works effortlessly to deliver authentic, acerbic laughter.",back_translation
"a subtle , poignant picture of goodness that is flawed , compromised and sad .","a subtle, poignant image of goodness that is imperfect, compromised and sad.",back_translation
a hidden-agenda drama that shouts classic french nuance .,a hidden agenda drama that shouts the classic French nuance.,back_translation
"the beautiful , unusual music is this film 's chief draw , but its dreaminess may lull you to sleep .","The beautiful, unusual music is the main drawing of this movie, but its dreaming can attract you to sleep.",back_translation
"the smash 'em - up , crash 'em - up , shoot 'em - up ending comes out of nowhere substituting mayhem for suspense .","Crushing them, crushing them, shooting them, finishing them comes out of nowhere by replacing chaos with suspense.",back_translation
"this is a picture that maik , the firebrand turned savvy ad man , would be envious of : it hijacks the heat of revolution and turns it into a sales tool .","It is an image that mayk, the brand of fire become savvy advertising man, would be envious of: it diverts the heat from the revolution and transforms it into a sales tool.",back_translation
"it ca n't escape its past , and it does n't want to .","He doesn't escape from his past, and he doesn't want to.",back_translation
the umpteenth summer skinny dip in jerry bruckheimer 's putrid pond of retread action twaddle .,the umpteenth skinny summer dive in Jerry Bruckheimer's putrid retreading pond action twaddle.,back_translation
so verbally flatfooted and so emotionally predictable or bland that it plays like the standard made-for-tv movie .,so verbally on flat feet and so emotionally predictable or clumsy that he plays as the standard makes-for-tv film.,back_translation
"silly , loud and goofy .","Idiot, loud and crazy.",back_translation
"by the time it ends in a rush of sequins , flashbulbs , blaring brass and back-stabbing babes , it has said plenty about how show business has infiltrated every corner of society -- and not always for the better .","by the time it ends in a rush of sequins, flashbulbs, salient brass and babies backstabbing, he said a lot about how the show business has infiltrated all corners of society -- and not always for the better.",back_translation
"it is a challenging film , if not always a narratively cohesive one .","It's a difficult film, if not always a coherent narrative film.",back_translation
tsai may be ploughing the same furrow once too often .,tsai can plough the same furrow once too often.,back_translation
"except for paymer as the boss who ultimately expresses empathy for bartleby 's pain , the performances are so stylized as to be drained of human emotion .","Except to pay like the boss who finally expresses empathy for Bartleby's pain, the performances are so stylized that it is necessary to exhaust human emotion.",back_translation
buy popcorn .,buy popcorn.,back_translation
"sparkles in its deft portrait of tinseltown 's seasoned veterans of gossip , wealth , paranoia , and celebrityhood .","The original portrait of the seasoned veterans of tinteltown of gossip, wealth, paranoia and fame glorifies.",back_translation
a creaky staircase gothic .,A gothic crispy staircase.,back_translation
"don michael paul uses quick-cuts , -lrb- very -rrb- large shadows and wide-angle shots taken from a distance to hide the liberal use of a body double -lrb- for seagal -rrb- .","don michael paul uses fast cuts, -lrb- very -rrb- large shadows and wide-angle shots taken remotely to hide the liberal use of a double body -lrb- for seagal -rrb- .",back_translation
"call this the full monty on ice , the underdog sports team formula redux .","Call it the complete ice mountain, the formula of the redux subdog sports team.",back_translation
slackers ' jokey approach to college education is disappointingly simplistic -- the film 's biggest problem -- and there are no unforgettably stupid stunts or uproariously rude lines of dialogue to remember it by .,The approach of the laity to college education is disappointingly simplistic - the biggest problem of the film - and there are no inconceivably stupid cascades or confusing lines of dialogue to remember it by .,back_translation
"ensemble movies , like soap operas , depend on empathy .","together movies, like soap operas, depend on empathy.",back_translation
broomfield reveals an ironic manifestation of institutionalized slavery that ties a black-owned record label with a white-empowered police force .,broomfield reveals an ironic manifestation of institutionalized slavery that links a black label to a white-power police force.,back_translation
"spider-man is in the same category as x-men - occasionally brilliant but mostly average , showing signs of potential for the sequels , but not giving us much this time around .","spider-man is in the same category as x-men - sometimes brilliant but mainly medium, showing signs of potential for the suites, but not giving us much this time around.",back_translation
